127.0.0.1, 2016-02-28 15:01:04, GET, /favicon.ico, HTTP/1.1, 400, 0.005000
127.0.0.1, 2016-02-28 15:01:10, POST, /admin/default/index, HTTP/1.1, 303, 0.068000
127.0.0.1, 2016-02-28 15:01:11, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.364000
127.0.0.1, 2016-02-28 15:01:11, GET, /admin/static/_2.13.4/images/search.png, HTTP/1.1, 200, 0.028000
127.0.0.1, 2016-02-28 15:01:11, GET, /admin/static/_2.13.4/images/help.png, HTTP/1.1, 200, 0.036000
127.0.0.1, 2016-02-28 15:01:11, GET, /admin/static/_2.13.4/images/test_icon.png, HTTP/1.1, 200, 0.028000
127.0.0.1, 2016-02-28 15:01:11, GET, /admin/static/_2.13.4/images/delete_icon.png, HTTP/1.1, 200, 0.044000
127.0.0.1, 2016-02-28 15:01:11, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-02-28 15:01:34, GET, /admin/default/peek/welcome/models/db.py, HTTP/1.1, 200, 0.171000
127.0.0.1, 2016-02-28 15:01:35, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-02-28 15:01:39, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.111000
127.0.0.1, 2016-02-28 15:01:39, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-02-28 15:01:44, GET, /admin/default/index, HTTP/1.1, 303, 0.016000
127.0.0.1, 2016-02-28 15:01:44, GET, /admin/default/site, HTTP/1.1, 200, 0.155000
127.0.0.1, 2016-02-28 15:01:44, GET, /admin/static/_2.13.4/images/folder_locked.png, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-02-28 15:01:44, GET, /admin/static/_2.13.4/images/folder.png, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-02-28 15:01:44, GET, /admin/static/_2.13.4/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-02-28 15:01:45, POST, /admin/default/check_version, HTTP/1.1, 200, 0.850000
127.0.0.1, 2016-02-28 15:01:46, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-02-28 15:01:49, GET, /welcome/default/index, HTTP/1.1, 200, 0.028000
127.0.0.1, 2016-02-28 15:01:49, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-28 15:01:56, GET, /welcome/appadmin/index, HTTP/1.1, 200, 0.056000
127.0.0.1, 2016-02-28 15:01:56, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-28 15:01:56, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-28 15:01:56, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-02-28 15:01:56, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-28 15:01:56, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-28 15:01:56, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-28 15:01:56, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-28 15:01:56, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-02-28 15:01:56, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-28 15:01:56, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-28 15:01:56, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-02-28 15:01:56, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-02-28 15:01:56, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-28 15:01:56, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 0.092000
127.0.0.1, 2016-02-28 15:02:07, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.112000
127.0.0.1, 2016-02-28 15:02:07, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-02-28 15:02:35, POST, /admin/default/create_file, HTTP/1.1, 303, 0.068000
127.0.0.1, 2016-02-28 15:02:36, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.120000
127.0.0.1, 2016-02-28 15:02:36, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
